From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
1335;1587;canal;360;-1;-1;-1;-1;kiel_canal
1408;1355;canal;614;-1;-1;-1;-1;panama_canal
7102;6856;canal;5075;-1;-1;-1;-1;suez_canal
5857;5851;sea;;-1;-1;-1;-1;mod
5851;5844;sea;;-1;-1;-1;-1;mod
5846;5848;sea;6975;-1;-1;-1;-1;mod
3249;3252;sea;;-1;-1;-1;-1;mod
3249;3254;sea;;-1;-1;-1;-1;mod
3248;3252;sea;;-1;-1;-1;-1;mod
3248;3250;sea;;-1;-1;-1;-1;mod
3246;3248;sea;;-1;-1;-1;-1;mod
3246;3244;sea;;-1;-1;-1;-1;mod
3246;3247;sea;;-1;-1;-1;-1;mod
3256;3247;sea;;-1;-1;-1;-1;mod
6110;6116;sea;;-1;-1;-1;-1;mod
6110;6109;sea;;-1;-1;-1;-1;mod
6110;6108;sea;;-1;-1;-1;-1;mod
6111;6105;sea;;-1;-1;-1;-1;mod
6100;6102;sea;;-1;-1;-1;-1;mod
656;2699;sea;1468;-1;-1;-1;-1;mod
4832;4829;sea;;-1;-1;-1;-1;mod
4828;402;sea;;-1;-1;-1;-1;mod
4821;402;sea;;-1;-1;-1;-1;mod
2201;2198;sea;;-1;-1;-1;-1;mod
2201;858;sea;;-1;-1;-1;-1;mod
2642;858;sea;;-1;-1;-1;-1;mod
2641;2623;sea;;-1;-1;-1;-1;mod
5277;361;sea;;-1;-1;-1;-1;mod
1231;5237;sea;;-1;-1;-1;-1;mod
2578;1050;sea;;-1;-1;-1;-1;mod
2078;1050;sea;;-1;-1;-1;-1;mod
1852;1050;sea;;-1;-1;-1;-1;mod
5240;2606;sea;;-1;-1;-1;-1;mod
1850;2606;sea;;-1;-1;-1;-1;mod
1850;2698;sea;;-1;-1;-1;-1;mod
411;1810;sea;;-1;-1;-1;-1;mod
625;5226;sea;;-1;-1;-1;-1;mod
625;5270;sea;;-1;-1;-1;-1;mod
2690;5270;sea;;-1;-1;-1;-1;mod
625;5235;sea;;-1;-1;-1;-1;mod
5236;363;sea;;-1;-1;-1;-1;mod
2382;1029;sea;;-1;-1;-1;-1;mod
5231;1027;sea;;-1;-1;-1;-1;mod
348;1027;sea;;-1;-1;-1;-1;mod
2210;628;sea;;-1;-1;-1;-1;mod
6038;6037;sea;;-1;-1;-1;-1;mod
3000;1765;sea;;-1;-1;-1;-1;mod
3000;2750;sea;;-1;-1;-1;-1;mod
3000;2827;sea;;-1;-1;-1;-1;mod
1931;254;sea;;-1;-1;-1;-1;mod
1864;254;sea;;-1;-1;-1;-1;mod
1864;2696;sea;;-1;-1;-1;-1;mod
1864;2299;sea;;-1;-1;-1;-1;mod
326;2299;sea;;-1;-1;-1;-1;mod
326;328;sea;;2664;1716;2663;1714;x
418;407;sea;;-1;-1;-1;-1;mod
418;330;sea;;-1;-1;-1;-1;mod
327;407;sea;;-1;-1;-1;-1;mod
255;330;sea;;-1;-1;-1;-1;mod
896;330;sea;;-1;-1;-1;-1;mod
95;418;sea;;-1;-1;-1;-1;mod
22;2005;sea;;-1;-1;-1;-1;mod
783;2256;sea;;-1;-1;-1;-1;mod
3001;1101;sea;;-1;-1;-1;-1;mod
3001;2293;sea;;-1;-1;-1;-1;mod
4706;5202;sea;6945;-1;-1;-1;-1;mod
4707;5114;sea;6944;-1;-1;-1;-1;mod
4710;1044;sea;;-1;-1;-1;-1;mod
5206;4700;sea;;-1;-1;-1;-1;mod
4710;4700;sea;;-1;-1;-1;-1;mod
102;4700;sea;;-1;-1;-1;-1;mod
102;1865;sea;;1896;2025;1893;2006;x
2712;1865;sea;;1902;1995;1894;2003;x
2712;674;sea;;-1;-1;-1;-1;mod
2712;641;sea;;-1;-1;-1;-1;mod
674;2533;sea;;-1;-1;-1;-1;mod
2533;641;sea;;-1;-1;-1;-1;mod
978;641;sea;;-1;-1;-1;-1;mod
978;2715;sea;;-1;-1;-1;-1;mod
643;2715;sea;;-1;-1;-1;-1;mod
643;2625;sea;;-1;-1;-1;-1;mod
405;1114;sea;;-1;-1;-1;-1;mod
338;2470;sea;;-1;-1;-1;-1;mod
2305;891;sea;;-1;-1;-1;-1;mod
2452;2448;sea;;-1;-1;-1;-1;mod
695;2499;sea;1404;-1;-1;-1;-1;mod
1135;2249;sea;;-1;-1;-1;-1;mod
742;2249;sea;;-1;-1;-1;-1;mod
5108;5107;sea;6875;-1;-1;-1;-1;mod
2873;2702;sea;1558;-1;-1;-1;-1;mod
2283;5170;sea;;-1;-1;-1;-1;mod
319;2601;sea;;-1;-1;-1;-1;mod
556;4516;sea;1642;-1;-1;-1;-1;mod
551;2703;sea;;-1;-1;-1;-1;mod
4594;4593;sea;7147;-1;-1;-1;-1;mod
5030;5039;lake;;-1;-1;-1;-1;mod
5047;5052;lake;;-1;-1;-1;-1;mod
5001;5004;sea;;-1;-1;-1;-1;mod
6402;6403;lake;;-1;-1;-1;-1;mod
2342;5326;sea;;-1;-1;-1;-1;mod
401;2472;sea;;-1;-1;-1;-1;mod
401;599;sea;;-1;-1;-1;-1;mod
2341;19;sea;;-1;-1;-1;-1;mod
1088;5289;sea;7007;-1;-1;-1;-1;mod
5285;1049;sea;;-1;-1;-1;-1;mod
1063;2190;sea;1422;-1;-1;-1;-1;mod
2335;5332;sea;;-1;-1;-1;-1;mod
2678;2346;sea;;-1;-1;-1;-1;mod
2678;2679;sea;;-1;-1;-1;-1;mod
2686;2683;sea;;-1;-1;-1;-1;mod
383;2683;sea;;-1;-1;-1;-1;mod
2686;2684;sea;;-1;-1;-1;-1;mod
5343;2277;sea;;-1;-1;-1;-1;mod
5341;2404;sea;;-1;-1;-1;-1;mod
2688;2687;sea;;-1;-1;-1;-1;mod
630;2687;sea;;-1;-1;-1;-1;mod
630;623;sea;;-1;-1;-1;-1;mod
622;623;sea;7086;-1;-1;-1;-1;mod
5372;624;sea;1416;-1;-1;-1;-1;mod
2102;5287;sea;;-1;-1;-1;-1;mod
2233;1060;sea;;-1;-1;-1;-1;mod
3206;3088;sea;;-1;-1;-1;-1;mod
3718;3723;sea;;-1;-1;-1;-1;mod
3105;3693;sea;;-1;-1;-1;-1;mod
1963;475;sea;;-1;-1;-1;-1;mod
305;475;sea;;-1;-1;-1;-1;mod
2420;475;sea;;-1;-1;-1;-1;mod
2420;2421;sea;;-1;-1;-1;-1;mod
2421;5436;sea;;-1;-1;-1;-1;mod
1964;133;sea;;-1;-1;-1;-1;mod
1083;473;sea;;-1;-1;-1;-1;mod
303;473;sea;;-1;-1;-1;-1;mod
